う〜〜〜〜,1281,1281,6349,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜,ウ[〜〜〜〜
う〜〜〜〜〜,1281,1281,6188,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜,ウ[〜〜〜〜〜
う〜〜〜〜〜〜,1281,1281,6000,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜〜,ウ[〜〜〜〜〜〜
う〜〜〜〜〜〜〜,1281,1281,5790,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜〜〜,ウ[〜〜〜〜〜〜〜
う〜〜〜〜〜〜〜〜,1281,1281,5561,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜〜〜〜,ウ[〜〜〜〜〜〜〜〜
う〜〜〜〜〜〜〜〜〜,1281,1281,5321,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜〜〜〜〜,ウ[〜〜〜〜〜〜〜〜〜
う〜〜〜〜〜〜〜〜〜〜,1281,1281,5075,副詞,一般,*,*,*,*,うー,ウ〜〜〜〜〜〜〜〜〜〜,ウ[〜〜〜〜〜〜〜〜〜〜
うう〜〜〜〜,1281,1281,6188,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜,ウ[ウ〜〜〜〜
うう〜〜〜〜〜,1281,1281,6000,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜,ウ[ウ〜〜〜〜〜
うう〜〜〜〜〜〜,1281,1281,5790,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜〜,ウ[ウ〜〜〜〜〜〜
うう〜〜〜〜〜〜〜,1281,1281,5561,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜〜〜,ウ[ウ〜〜〜〜〜〜〜
うう〜〜〜〜〜〜〜〜,1281,1281,5321,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜〜〜〜,ウ[ウ〜〜〜〜〜〜〜〜
うう〜〜〜〜〜〜〜〜〜,1281,1281,5075,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜〜〜〜〜,ウ[ウ〜〜〜〜〜〜〜〜〜
うう〜〜〜〜〜〜〜〜〜〜,1281,1281,4828,副詞,一般,*,*,*,*,ううー,ウウ〜〜〜〜〜〜〜〜〜〜,ウ[ウ〜〜〜〜〜〜〜〜〜〜
うわ〜〜〜〜,1281,1281,6188,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜,ウ[ワ〜〜〜〜
うわ〜〜〜〜〜,1281,1281,6000,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜,ウ[ワ〜〜〜〜〜
うわ〜〜〜〜〜〜,1281,1281,5790,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜〜,ウ[ワ〜〜〜〜〜〜
うわ〜〜〜〜〜〜〜,1281,1281,5561,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜〜〜,ウ[ワ〜〜〜〜〜〜〜
うわ〜〜〜〜〜〜〜〜,1281,1281,5321,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜〜〜〜,ウ[ワ〜〜〜〜〜〜〜〜
うわ〜〜〜〜〜〜〜〜〜,1281,1281,5075,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜〜〜〜〜,ウ[ワ〜〜〜〜〜〜〜〜〜
うわ〜〜〜〜〜〜〜〜〜〜,1281,1281,4828,副詞,一般,*,*,*,*,うわー,ウワ〜〜〜〜〜〜〜〜〜〜,ウ[ワ〜〜〜〜〜〜〜〜〜〜
